YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2014,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2014,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2014,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,,
2014,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2014,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2014,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2014,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2014,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2014,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2014,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,,
2014,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2014,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2014,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2014,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,44886.0,130462.0
2014,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2014,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,32132.0,4302.0
2014,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,46823.0,70222.0
2014,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,87353.0,382640.0
2014,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,134375.0,210969.0
2014,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,22031.0,84980.0
2014,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,,
2014,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,80521.0,25151.0
2014,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,49783.0,10749.0
2014,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,130865.0,57533.0
2014,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,71853.0,19290.0
2014,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,58393.0,15260.0
2014,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,47308.0,16804.0
2014,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,51026.0,20953.0
2014,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,56161.0,22378.0
2014,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,57063.0,14436.0
2014,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,101563.0,25921.0
2014,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,90476.0,93353.0
2014,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,54471.0,239531.0
2014,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,64063.0,49830.0
2014,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,28750.0,118180.0
2014,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,,
2014,6037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,69205.0,48647.0
2014,6037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,70972.0,70151.0
2014,6037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,74107.0,40999.0
2014,6037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,160956.0,33859.0
2014,6037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,62406.0,86286.0
