YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2017,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2017,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2017,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,,
2017,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2017,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2017,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,101400.0,59625.0
2017,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,106167.0,56018.0
2017,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,28242.0,4481.0
2017,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,,
